id,split,locale,label,secondary,is_fallback,text,review_status
train-0001,train-single,zh,courage,,0,我希望内心坚定，送给我在意的人。,template-reviewed
train-0002,train-ambiguous,en,joy,,1,I wrote a short note 2,template-reviewed
train-0003,train-single,en,courage,,0,Let this wish carry a steady heart starting today.,template-reviewed
train-0004,train-single,zh,joy,,0,我的愿望是分享喜悦。,template-reviewed
train-0005,train-single,zh,courage,,0,请替我织下不惧风雨，愿好事慢慢发生。,template-reviewed
train-0006,train-single,en,longevity,,0,My heart asks for family stories lasting generations with gratitude for this moment.,template-reviewed
train-0007,train-ambiguous,zh,joy,,1,这是一段普通描述 3,template-reviewed
train-0008,train-single,en,longevity,,0,I sincerely hope for goodness that continues—this matters deeply to me.,template-reviewed
train-0009,train-mixed,en,abundance,reunion,0,"This year I hope for prosperity through the seasons, while carrying a festival together.",template-reviewed
train-0010,train-single,en,courage,,0,I wish for brave new start for the people close to me.,template-reviewed
train-0011,train-single,en,longevity,,0,My simple wish is growing old together and I will keep it in my heart.,template-reviewed
train-0012,train-single,en,courage,,0,"For tomorrow, I wish for standing by my choice as good things unfold.",template-reviewed
train-0013,train-single,zh,reunion,,0,真心期待共度佳节，也送给每一个努力的人。,template-reviewed
train-0014,train-single,zh,longevity,,0,愿陪伴到老，一直记在心里。,template-reviewed
train-0015,train-mixed,en,longevity,safety,0,"For tomorrow, I wish for a lasting friendship; I also hope for everyone stays well.",template-reviewed
train-0016,train-ambiguous,zh,reunion,,1,我在学习一门新语言 2,template-reviewed
train-0017,train-ambiguous,en,longevity,,1,the window faces east 4,template-reviewed
train-0018,train-single,zh,longevity,,0,我的愿望是初心长存，在新的日子里。,template-reviewed
train-0019,train-single,en,courage,,0,I wish for brave new start for the people close to me.,template-reviewed
train-0020,train-ambiguous,en,longevity,,1,the window faces east 3,template-reviewed
train-0021,train-single,en,courage,,0,May there be courage to move forward as good things unfold.,template-reviewed
train-0022,train-single,zh,joy,,0,我的愿望是遇见好消息，也送给每一个努力的人。,template-reviewed
train-0023,train-single,en,longevity,,0,"For tomorrow, I wish for goodness that continues for everyone I care about.",template-reviewed
train-0024,train-single,zh,safety,,0,今年最想看到一路顺遂，愿好事慢慢发生。,template-reviewed
train-0025,train-ambiguous,zh,reunion,,1,窗外有三棵树 3,template-reviewed
train-0026,train-mixed,zh,longevity,abundance,0,今年最想看到陪伴到老，同时盼望收获满满。,template-reviewed
train-0027,train-single,zh,courage,,0,想对明天说：内心坚定，从今天开始。,template-reviewed
train-0028,train-ambiguous,en,courage,,1,the room is quiet 3,template-reviewed
train-0029,train-single,en,abundance,,0,I wish for rewarding results.,template-reviewed
train-0030,train-single,zh,abundance,,0,愿生活丰足，一直记在心里。,template-reviewed
train-0031,train-ambiguous,zh,courage,,1,窗外有三棵树 1,template-reviewed
train-0032,train-mixed,zh,courage,reunion,0,此刻我盼望跨过难关，同时盼望再见想念的人。,template-reviewed
train-0033,train-mixed,zh,courage,safety,0,今年最想看到重新出发，还想把祝福送给一路顺遂。,template-reviewed
train-0034,train-single,en,abundance,,0,May there be a thriving home for everyone I care about.,template-reviewed
train-0035,train-single,zh,joy,,0,愿幸福相伴，愿好事慢慢发生。,template-reviewed
train-0036,train-single,en,abundance,,0,I want to see prosperity through the seasons for everyone I care about.,template-reviewed
train-0037,train-ambiguous,zh,courage,,1,今天穿蓝色衣服 3,template-reviewed
train-0038,train-single,en,abundance,,0,My heart asks for rewarding results in the days ahead.,template-reviewed
train-0039,train-single,en,courage,,0,Please weave a wish for overcoming this challenge.,template-reviewed
train-0040,train-mixed,zh,safety,longevity,0,此刻我盼望一路顺遂，同时盼望家族故事代代相传。,template-reviewed
